21-143	AbramÛw
14-530	Frombork
38-125	StÍpina
38-130	Frysztak
38-130	Frysztak KroúnieÒski
38-131	Gogo≥Ûw
37-207	GaÊ
98-404	Osiek
98-404	Osiek k. Wielunia
98-405	Galewice
98-406	OstrÛwek
98-406	OstrÛwek k. Wieruszowa
26-930	Garbatka-Letnisko
21-080	GarbÛw
24-180	GarbÛw
82-515	Wandowo
82-516	Trumieje
82-520	Gardeja
82-521	Czarne Dolne
08-400	Garwolin
08-410	Wola RÍbkowska
08-442	Ruda Talubska
44-282	Czernica
44-282	Czernica k. Rybnika
44-293	Gaszowice
39-307	Gaw≥uszowice
59-180	Gaworzyce
09-522	DobrzykÛw
09-530	Gπbin
09-542	LipiÒskie
88-407	Laski Wielkie
88-409	Biskupin
88-410	Gπsawa
88-411	Szelejewo
88-411	Szelejewo k. Ønina
80-001	GdaÒsk
80-003	GdaÒsk
80-007	GdaÒsk
80-008	GdaÒsk
80-010	GdaÒsk
80-011	GdaÒsk
80-012	GdaÒsk
80-013	GdaÒsk
80-014	GdaÒsk
80-016	GdaÒsk
80-017	GdaÒsk
80-018	GdaÒsk
80-020	GdaÒsk
80-021	GdaÒsk
80-022	GdaÒsk
80-024	GdaÒsk
80-025	GdaÒsk
80-026	GdaÒsk
80-027	GdaÒsk
80-028	GdaÒsk
80-029	GdaÒsk
80-030	GdaÒsk
80-031	GdaÒsk
80-032	GdaÒsk
80-033	GdaÒsk
80-034	GdaÒsk
80-035	GdaÒsk
80-036	GdaÒsk
80-037	GdaÒsk
80-038	GdaÒsk
80-039	GdaÒsk
80-041	GdaÒsk
80-042	GdaÒsk
80-043	GdaÒsk
80-044	GdaÒsk
80-045	GdaÒsk
80-046	GdaÒsk
80-047	GdaÒsk
80-048	GdaÒsk
80-049	GdaÒsk
80-050	GdaÒsk
80-051	GdaÒsk
80-052	GdaÒsk
80-053	GdaÒsk
80-054	GdaÒsk
80-055	GdaÒsk
80-056	GdaÒsk
80-057	GdaÒsk
80-058	GdaÒsk
80-059	GdaÒsk
80-060	GdaÒsk
80-061	GdaÒsk
80-062	GdaÒsk
80-063	GdaÒsk
80-064	GdaÒsk
80-065	GdaÒsk
80-066	GdaÒsk
80-067	GdaÒsk
80-068	GdaÒsk
80-069	GdaÒsk
80-070	GdaÒsk
80-071	GdaÒsk
80-073	GdaÒsk
80-074	GdaÒsk
80-075	GdaÒsk
80-076	GdaÒsk
80-077	GdaÒsk
80-078	GdaÒsk
80-103	GdaÒsk
80-104	GdaÒsk
80-105	GdaÒsk
80-107	GdaÒsk
80-108	GdaÒsk
80-110	GdaÒsk
80-111	GdaÒsk
80-112	GdaÒsk
80-113	GdaÒsk
80-114	GdaÒsk
80-115	GdaÒsk
80-116	GdaÒsk
80-117	GdaÒsk
80-119	GdaÒsk
80-120	GdaÒsk
80-121	GdaÒsk
80-122	GdaÒsk
80-123	GdaÒsk
80-124	GdaÒsk
80-125	GdaÒsk
80-126	GdaÒsk
80-127	GdaÒsk
80-128	GdaÒsk
80-129	GdaÒsk
80-130	GdaÒsk
80-132	GdaÒsk
80-133	GdaÒsk
80-134	GdaÒsk
80-135	GdaÒsk
80-136	GdaÒsk
80-137	GdaÒsk
80-138	GdaÒsk
80-139	GdaÒsk
80-140	GdaÒsk
80-141	GdaÒsk
80-142	GdaÒsk
80-143	GdaÒsk
80-145	GdaÒsk
80-146	GdaÒsk
80-147	GdaÒsk
80-148	GdaÒsk
80-150	GdaÒsk
80-151	GdaÒsk
80-152	GdaÒsk
80-153	GdaÒsk
80-154	GdaÒsk
80-155	GdaÒsk
80-156	GdaÒsk
80-157	GdaÒsk
80-158	GdaÒsk
80-159	GdaÒsk
80-162	GdaÒsk
80-163	GdaÒsk
80-164	GdaÒsk
80-165	GdaÒsk
80-169	GdaÒsk
80-170	GdaÒsk
80-171	GdaÒsk
80-172	GdaÒsk
80-174	GdaÒsk
80-175	GdaÒsk
80-176	GdaÒsk
80-177	GdaÒsk
80-178	GdaÒsk
80-179	GdaÒsk
80-180	GdaÒsk
80-201	GdaÒsk
80-202	GdaÒsk
80-203	GdaÒsk
80-204	GdaÒsk
80-205	GdaÒsk
80-207	GdaÒsk
80-208	GdaÒsk
80-210	GdaÒsk
80-211	GdaÒsk
80-214	GdaÒsk
80-215	GdaÒsk
80-216	GdaÒsk
80-217	GdaÒsk
80-218	GdaÒsk
80-219	GdaÒsk
80-221	GdaÒsk
80-222	GdaÒsk
80-224	GdaÒsk
80-225	GdaÒsk
80-226	GdaÒsk
80-227	GdaÒsk
80-228	GdaÒsk
80-229	GdaÒsk
80-230	GdaÒsk
80-231	GdaÒsk
80-232	GdaÒsk
80-233	GdaÒsk
80-234	GdaÒsk
80-235	GdaÒsk
80-236	GdaÒsk
80-237	GdaÒsk
80-238	GdaÒsk
80-239	GdaÒsk
80-240	GdaÒsk
80-241	GdaÒsk
80-242	GdaÒsk
80-243	GdaÒsk
80-244	GdaÒsk
80-245	GdaÒsk
80-246	GdaÒsk
80-247	GdaÒsk
80-248	GdaÒsk
80-249	GdaÒsk
80-250	GDA—SK
80-251	GdaÒsk
80-252	GdaÒsk
80-253	GdaÒsk
80-254	GdaÒsk
80-255	GdaÒsk
80-257	GdaÒsk
80-258	GdaÒsk
80-259	GdaÒsk
80-260	GdaÒsk
80-261	GdaÒsk
80-262	GdaÒsk
80-264	GdaÒsk
80-265	GdaÒsk
80-266	GdaÒsk
80-267	GdaÒsk
80-268	GdaÒsk
80-270	GdaÒsk
80-271	GdaÒsk
80-272	GdaÒsk
80-273	GdaÒsk
80-274	GdaÒsk
80-275	GdaÒsk
80-276	GdaÒsk
80-277	GdaÒsk
80-278	GdaÒsk
80-279	GdaÒsk
80-280	GdaÒsk
80-281	GdaÒsk
80-282	GdaÒsk
80-283	GdaÒsk
80-284	GdaÒsk
80-285	GdaÒsk
80-286	GdaÒsk
80-287	GdaÒsk
80-288	GdaÒsk
80-289	GdaÒsk
80-290	GdaÒsk
80-291	GdaÒsk
80-292	GdaÒsk
80-293	GdaÒsk
80-294	GdaÒsk
80-295	GdaÒsk
80-296	GdaÒsk
80-297	GdaÒsk
80-298	GdaÒsk
80-299	GdaÒsk
80-300	GdaÒsk
80-301	GdaÒsk
80-302	GdaÒsk
80-303	GdaÒsk
80-304	GdaÒsk
80-305	GdaÒsk
80-306	GdaÒsk
80-307	GdaÒsk
80-308	GdaÒsk
80-309	GdaÒsk
80-310	GdaÒsk
80-311	GdaÒsk
80-312	GdaÒsk
80-313	GdaÒsk
80-314	GdaÒsk
80-315	GdaÒsk
80-316	GdaÒsk
80-317	GdaÒsk
80-318	GdaÒsk
80-319	GdaÒsk
80-320	GdaÒsk
80-321	GdaÒsk
80-322	GdaÒsk
80-324	GdaÒsk
80-325	GdaÒsk
80-328	GdaÒsk
80-330	GdaÒsk
80-331	GdaÒsk
80-332	GdaÒsk
80-333	GdaÒsk
80-335	GdaÒsk
80-336	GdaÒsk
80-337	GdaÒsk
80-338	GdaÒsk
80-339	GdaÒsk
80-340	GdaÒsk
80-341	GdaÒsk
80-342	GdaÒsk
80-343	GdaÒsk
80-344	GdaÒsk
80-345	GdaÒsk
80-346	GdaÒsk
80-347	GdaÒsk
80-349	GdaÒsk
80-350	GdaÒsk
80-351	GdaÒsk
80-352	GdaÒsk
80-353	GdaÒsk
80-354	GdaÒsk
80-355	GdaÒsk
80-356	GdaÒsk
80-357	GdaÒsk
80-358	GdaÒsk
80-359	GdaÒsk
80-360	GdaÒsk
80-361	GdaÒsk
80-362	GdaÒsk
80-363	GdaÒsk
80-364	GdaÒsk
80-365	GdaÒsk
80-366	GdaÒsk
80-367	GdaÒsk
80-368	GdaÒsk
80-369	GdaÒsk
80-371	GdaÒsk
80-373	GdaÒsk
80-374	GdaÒsk
80-375	GdaÒsk
80-376	GdaÒsk
80-377	GdaÒsk
80-378	GdaÒsk
80-379	GdaÒsk
80-380	GdaÒsk
80-381	GdaÒsk
80-382	GdaÒsk
80-383	GdaÒsk
80-384	GdaÒsk
80-385	GdaÒsk
80-386	GdaÒsk
80-387	GdaÒsk
80-388	GdaÒsk
80-389	GdaÒsk
80-390	GdaÒsk
80-391	GdaÒsk
80-392	GdaÒsk
80-393	GdaÒsk
80-394	GdaÒsk
80-395	GdaÒsk
80-396	GdaÒsk
80-397	GdaÒsk
80-398	GdaÒsk
80-399	GdaÒsk
80-401	GdaÒsk
80-402	GdaÒsk
80-404	GdaÒsk
80-405	GdaÒsk
80-406	GdaÒsk
80-407	GdaÒsk
80-408	GdaÒsk
80-409	GdaÒsk
80-410	GdaÒsk
80-412	GdaÒsk
80-413	GdaÒsk
80-414	GdaÒsk
80-415	GdaÒsk
80-416	GdaÒsk
80-417	GdaÒsk
80-418	GdaÒsk
80-419	GdaÒsk
80-420	GdaÒsk
80-421	GdaÒsk
80-423	GdaÒsk
80-425	GdaÒsk
80-426	GdaÒsk
80-427	GdaÒsk
80-430	GdaÒsk
80-431	GdaÒsk
80-432	GdaÒsk
80-433	GdaÒsk
80-434	GdaÒsk
80-435	GdaÒsk
80-437	GdaÒsk
80-438	GdaÒsk
80-440	GdaÒsk
80-441	GdaÒsk
80-442	GdaÒsk
80-443	GdaÒsk
80-444	GdaÒsk
80-445	GdaÒsk
80-446	GdaÒsk
80-447	GdaÒsk
80-448	GdaÒsk
80-449	GdaÒsk
80-450	GdaÒsk
80-451	GdaÒsk
80-452	GdaÒsk
80-453	GdaÒsk
80-454	GdaÒsk
80-455	GdaÒsk
80-456	GdaÒsk
80-457	GdaÒsk
80-460	GdaÒsk
80-461	GdaÒsk
80-462	GdaÒsk
80-463	GdaÒsk
80-464	GdaÒsk
80-465	GdaÒsk
80-473	GdaÒsk
80-478	GdaÒsk
80-502	GdaÒsk
80-503	GdaÒsk
80-504	GdaÒsk
80-505	GdaÒsk
80-506	GdaÒsk
80-508	GdaÒsk
80-509	GdaÒsk
80-510	GdaÒsk
80-511	GdaÒsk
80-512	GdaÒsk
80-513	GdaÒsk
80-514	GdaÒsk
80-515	GdaÒsk
80-516	GdaÒsk
80-518	GdaÒsk
80-519	GdaÒsk
80-520	GdaÒsk
80-522	GdaÒsk
80-523	GdaÒsk
80-524	GdaÒsk
80-526	GdaÒsk
80-529	GdaÒsk
80-530	GdaÒsk
80-531	GdaÒsk
80-532	GdaÒsk
80-533	GdaÒsk
80-534	GdaÒsk
80-535	GdaÒsk
80-536	GdaÒsk
80-537	GdaÒsk
80-538	GdaÒsk
80-539	GdaÒsk
80-540	GdaÒsk
80-541	GdaÒsk
80-542	GdaÒsk
80-543	GdaÒsk
80-544	GdaÒsk
80-545	GdaÒsk
80-546	GdaÒsk
80-547	GdaÒsk
80-548	GdaÒsk
80-549	GdaÒsk
80-550	GdaÒsk
80-551	GdaÒsk
80-553	GdaÒsk
80-554	GdaÒsk
80-555	GdaÒsk
80-556	GdaÒsk
80-557	GdaÒsk
80-560	GdaÒsk
80-561	GdaÒsk
80-562	GdaÒsk
80-563	GdaÒsk
80-564	GdaÒsk
80-601	GdaÒsk
80-603	GdaÒsk
80-604	GdaÒsk
80-605	GdaÒsk
80-606	GdaÒsk
80-607	GdaÒsk
80-609	GdaÒsk
80-610	GdaÒsk
80-611	GdaÒsk
80-612	GdaÒsk
80-613	GdaÒsk
80-614	GdaÒsk
80-616	GdaÒsk
80-617	GdaÒsk
80-618	GdaÒsk
80-620	GdaÒsk
80-621	GdaÒsk
80-622	GdaÒsk
80-623	GdaÒsk
80-624	GdaÒsk
80-625	GdaÒsk
80-626	GdaÒsk
80-627	GdaÒsk
80-628	GdaÒsk
80-629	GdaÒsk
80-631	GdaÒsk
80-632	GdaÒsk
80-633	GdaÒsk
80-634	GdaÒsk
80-635	GdaÒsk
80-636	GdaÒsk
80-637	GdaÒsk
80-638	GdaÒsk
80-641	GdaÒsk
80-642	GdaÒsk
80-643	GdaÒsk
80-644	GdaÒsk
80-645	GdaÒsk
80-646	GdaÒsk
80-647	GdaÒsk
80-648	GdaÒsk
80-651	GdaÒsk
80-652	GdaÒsk
80-653	GdaÒsk
80-654	GdaÒsk
80-655	GdaÒsk
80-656	GdaÒsk
80-658	GdaÒsk
80-660	GdaÒsk
80-663	GdaÒsk
80-665	GdaÒsk
80-680	GdaÒsk
80-690	GdaÒsk
80-691	GdaÒsk
80-701	GdaÒsk
80-702	GdaÒsk
80-703	GdaÒsk
80-704	GdaÒsk
80-705	GdaÒsk
80-706	GdaÒsk
80-707	GdaÒsk
80-708	GdaÒsk
80-711	GdaÒsk
80-716	GdaÒsk
80-717	GdaÒsk
80-718	GdaÒsk
80-719	GdaÒsk
80-720	GdaÒsk
80-721	GdaÒsk
80-722	GdaÒsk
80-723	GdaÒsk
80-724	GdaÒsk
80-725	GdaÒsk
80-726	GdaÒsk
80-727	GdaÒsk
80-728	GdaÒsk
80-729	GdaÒsk
80-730	GdaÒsk
80-731	GdaÒsk
80-732	GdaÒsk
80-733	GdaÒsk
80-734	GdaÒsk
80-735	GdaÒsk
80-736	GdaÒsk
80-737	GdaÒsk
80-738	GdaÒsk
80-739	GdaÒsk
80-740	GdaÒsk
80-741	GdaÒsk
80-742	GdaÒsk
80-743	GdaÒsk
80-744	GdaÒsk
80-745	GdaÒsk
80-746	GdaÒsk
80-747	GdaÒsk
80-748	GdaÒsk
80-749	GdaÒsk
80-750	GdaÒsk
80-751	GdaÒsk
80-752	GdaÒsk
80-753	GdaÒsk
80-754	GdaÒsk
80-755	GdaÒsk
80-756	GdaÒsk
80-757	GdaÒsk
80-758	GdaÒsk
80-759	GdaÒsk
80-760	GdaÒsk
80-761	GdaÒsk
80-762	GdaÒsk
80-763	GdaÒsk
80-764	GdaÒsk
80-765	GdaÒsk
80-766	GdaÒsk
80-767	GdaÒsk
80-768	GdaÒsk
80-769	GdaÒsk
80-770	GdaÒsk
80-771	GdaÒsk
80-772	GdaÒsk
80-774	GdaÒsk
80-776	GdaÒsk
80-777	GdaÒsk
80-778	GdaÒsk
80-801	GdaÒsk
80-802	GdaÒsk
80-803	GdaÒsk
80-804	GdaÒsk
80-805	GdaÒsk
80-806	GdaÒsk
80-807	GdaÒsk
80-808	GdaÒsk
80-809	GdaÒsk
80-810	GdaÒsk
80-811	GdaÒsk
80-812	GdaÒsk
80-813	GdaÒsk
80-815	GdaÒsk
80-817	GdaÒsk
80-818	GdaÒsk
80-819	GdaÒsk
80-821	GdaÒsk
80-822	GdaÒsk
80-823	GdaÒsk
80-824	GdaÒsk
80-826	GdaÒsk
80-827	GdaÒsk
80-828	GdaÒsk
80-830	GdaÒsk
80-831	GdaÒsk
80-833	GdaÒsk
80-834	GdaÒsk
80-835	GdaÒsk
80-836	GdaÒsk
80-837	GdaÒsk
80-838	GdaÒsk
80-839	GdaÒsk
80-840	GdaÒsk
80-841	GdaÒsk
80-842	GdaÒsk
80-843	GdaÒsk
80-844	GdaÒsk
80-845	GdaÒsk
80-846	GdaÒsk
80-847	GdaÒsk
80-848	GdaÒsk
80-849	GdaÒsk
80-850	GdaÒsk
80-851	GdaÒsk
80-852	GdaÒsk
80-853	GdaÒsk
80-854	GdaÒsk
80-855	GdaÒsk
80-856	GdaÒsk
80-857	GdaÒsk
80-858	GdaÒsk
80-859	GdaÒsk
80-860	GdaÒsk
80-861	GdaÒsk
80-862	GdaÒsk
80-863	GdaÒsk
80-864	GdaÒsk
80-865	GdaÒsk
80-866	GdaÒsk
80-867	GdaÒsk
80-868	GdaÒsk
80-869	GdaÒsk
80-870	GdaÒsk
80-871	GdaÒsk
80-873	GdaÒsk
80-874	GdaÒsk
80-875	GdaÒsk
80-876	GDA—SK
80-877	GdaÒsk
80-878	GdaÒsk
80-880	GdaÒsk
80-881	GdaÒsk
80-882	GdaÒsk
80-883	GdaÒsk
80-884	GdaÒsk
80-885	GdaÒsk
80-886	GdaÒsk
80-887	GdaÒsk
80-888	GdaÒsk
80-890	GdaÒsk
80-891	GdaÒsk
80-893	GdaÒsk
80-894	GdaÒsk
80-895	GdaÒsk
80-900	GdaÒsk
80-940	GdaÒsk
80-952	GdaÒsk
80-953	GdaÒsk
80-955	GdaÒsk
80-958	GdaÒsk
80-962	GdaÒsk
83-382	GdaÒsk
32-013	NiegowiÊ
32-013	NiegowiÊ k. Bochni
32-420	GdÛw
81-000	Gdynia
81-001	Gdynia
81-002	Gdynia
81-003	Gdynia
81-004	Gdynia
81-005	Gdynia
81-006	Gdynia
81-007	Gdynia
81-008	Gdynia
81-009	Gdynia
81-010	Gdynia
81-012	Gdynia
81-014	Gdynia
81-015	Gdynia
81-016	Gdynia
81-017	Gdynia
81-018	Gdynia
81-019	Gdynia
81-020	Gdynia
81-021	Gdynia
81-022	Gdynia
81-023	Gdynia
81-024	Gdynia
81-025	Gdynia
81-026	Gdynia
81-027	Gdynia
81-028	Gdynia
81-029	Gdynia
81-030	Gdynia
81-031	Gdynia
81-032	Gdynia
81-033	Gdynia
81-034	Gdynia
81-035	Gdynia
81-036	Gdynia
81-037	Gdynia
81-038	Gdynia
81-039	Gdynia
81-041	Gdynia
81-042	Gdynia
81-044	Gdynia
81-045	Gdynia
81-047	Gdynia
81-048	Gdynia
81-049	Gdynia
81-050	Gdynia
81-051	Gdynia
81-052	Gdynia
81-053	Gdynia
81-055	Gdynia
81-056	Gdynia
81-057	Gdynia
81-058	Gdynia
81-059	Gdynia
81-060	Gdynia
81-061	Gdynia
81-062	Gdynia
81-063	Gdynia
81-064	Gdynia
81-065	Gdynia
81-066	Gdynia
81-068	Gdynia
81-072	Gdynia
81-074	Gdynia
81-075	Gdynia
81-076	Gdynia
81-077	Gdynia
81-078	Gdynia
81-079	Gdynia
81-080	Gdynia
81-081	Gdynia
81-082	Gdynia
81-083	Gdynia
81-084	Gdynia
81-085	Gdynia
81-086	Gdynia
81-087	Gdynia
81-089	Gdynia
81-092	Gdynia
81-094	Gdynia
81-095	Gdynia
81-097	Gdynia
81-100	Gdynia
81-101	Gdynia
81-102	Gdynia
81-103	Gdynia
81-104	Gdynia
81-105	Gdynia
81-106	Gdynia
81-107	Gdynia
81-108	Gdynia
81-109	Gdynia
81-110	Gdynia
81-112	Gdynia
81-113	Gdynia
81-114	Gdynia
81-115	Gdynia
81-116	Gdynia
81-118	Gdynia
81-120	Gdynia
81-121	Gdynia
81-122	Gdynia
81-123	Gdynia
81-124	Gdynia
81-125	Gdynia
81-127	Gdynia
81-130	Gdynia
81-131	Gdynia
81-132	Gdynia
81-133	Gdynia
81-134	Gdynia
81-136	Gdynia
81-137	Gdynia
81-138	Gdynia
81-146	Gdynia
81-147	Gdynia
81-148	Gdynia
81-149	Gdynia
81-150	Gdynia
81-151	Gdynia
81-152	Gdynia
81-153	Gdynia
81-154	Gdynia
81-155	Gdynia
81-156	Gdynia
81-157	Gdynia
81-158	Gdynia
81-159	Gdynia
81-160	Gdynia
81-161	Gdynia
81-162	Gdynia
81-163	Gdynia
81-164	Gdynia
81-165	Gdynia
81-166	Gdynia
81-167	Gdynia
81-168	Gdynia
81-169	Gdynia
81-170	Gdynia
81-171	Gdynia
81-172	Gdynia
81-173	Gdynia
81-174	Gdynia
81-175	Gdynia
81-176	Gdynia
81-177	Gdynia
81-178	Gdynia
81-179	Gdynia
81-180	Gdynia
81-181	Gdynia
81-182	Gdynia
81-183	Gdynia
81-184	Gdynia
81-185	Gdynia
81-187	Gdynia
81-188	Gdynia
81-189	Gdynia
81-190	Gdynia
81-191	Gdynia
81-193	Gdynia
81-194	Gdynia
81-195	Gdynia
81-197	Gdynia
81-200	Gdynia
81-201	Gdynia
81-202	Gdynia
81-203	Gdynia
81-204	Gdynia
81-206	Gdynia
81-207	Gdynia
81-208	Gdynia
81-210	Gdynia
81-211	Gdynia
81-212	Gdynia
81-213	Gdynia
81-214	Gdynia
81-215	Gdynia
81-217	Gdynia
81-218	Gdynia
81-219	Gdynia
81-220	Gdynia
81-221	Gdynia
81-222	Gdynia
81-223	Gdynia
81-224	Gdynia
81-225	Gdynia
81-226	Gdynia
81-228	Gdynia
81-229	Gdynia
81-230	Gdynia
81-231	Gdynia
81-232	Gdynia
81-233	Gdynia
81-234	Gdynia
81-235	Gdynia
81-236	Gdynia
81-237	Gdynia
81-241	Gdynia
81-242	Gdynia
81-244	Gdynia
81-245	Gdynia
81-249	Gdynia
81-250	Gdynia
81-253	Gdynia
81-254	Gdynia
81-255	Gdynia
81-256	Gdynia
81-257	Gdynia
81-258	Gdynia
81-259	Gdynia
81-260	Gdynia
81-261	Gdynia
81-262	Gdynia
81-263	Gdynia
81-265	Gdynia
81-266	Gdynia
81-267	Gdynia
81-268	Gdynia
81-269	Gdynia
81-270	Gdynia
81-271	Gdynia
81-272	Gdynia
81-273	Gdynia
81-300	Gdynia
81-301	Gdynia
81-302	Gdynia
81-303	Gdynia
81-304	Gdynia
81-305	Gdynia
81-306	Gdynia
81-309	Gdynia
81-310	Gdynia
81-311	Gdynia
81-312	Gdynia
81-313	Gdynia
81-314	Gdynia
81-316	Gdynia
81-317	Gdynia
81-319	Gdynia
81-320	Gdynia
81-321	Gdynia
81-322	Gdynia
81-323	Gdynia
81-324	Gdynia
81-325	Gdynia
81-326	Gdynia
81-327	Gdynia
81-328	Gdynia
81-329	Gdynia
81-330	Gdynia
81-331	Gdynia
81-332	Gdynia
81-333	Gdynia
81-334	Gdynia
81-335	Gdynia
81-336	Gdynia
81-337	Gdynia
81-338	Gdynia
81-339	Gdynia
81-340	Gdynia
81-341	Gdynia
81-342	Gdynia
81-343	Gdynia
81-344	Gdynia
81-345	Gdynia
81-346	Gdynia
81-347	Gdynia
81-348	Gdynia
81-349	Gdynia
81-350	Gdynia
81-351	Gdynia
81-352	Gdynia
81-353	Gdynia
81-354	Gdynia
81-355	Gdynia
81-356	Gdynia
81-357	Gdynia
81-358	Gdynia
81-359	Gdynia
81-361	Gdynia
81-362	Gdynia
81-363	Gdynia
81-364	Gdynia
81-365	Gdynia
81-366	Gdynia
81-367	Gdynia
81-368	Gdynia
81-369	Gdynia
81-370	Gdynia
81-371	Gdynia
81-372	Gdynia
81-373	Gdynia
81-374	Gdynia
81-375	Gdynia
81-376	Gdynia
81-377	Gdynia
81-378	Gdynia
81-379	Gdynia
81-380	Gdynia
81-381	Gdynia
81-382	Gdynia
81-383	Gdynia
81-384	Gdynia
81-385	Gdynia
81-386	Gdynia
81-387	Gdynia
81-388	Gdynia
81-389	Gdynia
81-390	Gdynia
81-391	Gdynia
81-392	Gdynia
81-393	Gdynia
81-394	Gdynia
81-395	Gdynia
81-396	Gdynia
81-397	Gdynia
81-400	Gdynia
81-401	Gdynia
81-402	Gdynia
81-403	Gdynia
81-404	Gdynia
81-405	Gdynia
81-406	Gdynia
81-407	Gdynia
81-408	Gdynia
81-409	Gdynia
81-410	Gdynia
81-411	Gdynia
81-412	Gdynia
81-413	Gdynia
81-415	Gdynia
81-416	Gdynia
81-417	Gdynia
81-418	Gdynia
81-421	Gdynia
81-422	Gdynia
81-423	Gdynia
81-424	Gdynia
81-425	Gdynia
81-426	Gdynia
81-427	Gdynia
81-428	Gdynia
81-429	Gdynia
81-431	Gdynia
81-432	Gdynia
81-433	Gdynia
81-434	Gdynia
81-435	Gdynia
81-436	Gdynia
81-437	Gdynia
81-438	Gdynia
81-439	Gdynia
81-440	Gdynia
81-441	Gdynia
81-442	Gdynia
81-448	Gdynia
81-449	Gdynia
81-450	Gdynia
81-451	Gdynia
81-452	Gdynia
81-453	Gdynia
81-454	Gdynia
81-455	Gdynia
81-456	Gdynia
81-457	Gdynia
81-458	Gdynia
81-459	Gdynia
81-460	Gdynia
81-461	Gdynia
81-462	Gdynia
81-463	Gdynia
81-464	Gdynia
81-465	Gdynia
81-466	Gdynia
81-467	Gdynia
81-468	Gdynia
81-469	Gdynia
81-470	Gdynia
81-471	Gdynia
81-472	Gdynia
81-473	Gdynia
81-474	Gdynia
81-475	Gdynia
81-476	Gdynia
81-500	Gdynia
81-501	Gdynia
81-502	Gdynia
81-503	Gdynia
81-504	Gdynia
81-505	Gdynia
81-506	Gdynia
81-507	Gdynia
81-508	Gdynia
81-509	Gdynia
81-510	Gdynia
81-511	Gdynia
81-512	Gdynia
81-514	Gdynia
81-515	Gdynia
81-517	Gdynia
81-518	Gdynia
81-519	Gdynia
81-520	Gdynia
81-521	Gdynia
81-522	Gdynia
81-523	Gdynia
81-524	Gdynia
81-525	Gdynia
81-526	Gdynia
81-527	Gdynia
81-528	Gdynia
81-529	Gdynia
81-530	Gdynia
81-531	Gdynia
81-532	Gdynia
81-533	Gdynia
81-534	Gdynia
81-535	Gdynia
81-536	Gdynia
81-537	Gdynia
81-538	Gdynia
81-539	Gdynia
81-540	Gdynia
81-541	Gdynia
81-542	Gdynia
81-543	Gdynia
81-544	Gdynia
81-545	Gdynia
81-546	Gdynia
81-547	Gdynia
81-548	Gdynia
81-549	Gdynia
81-550	Gdynia
81-551	Gdynia
81-552	Gdynia
81-553	Gdynia
81-554	Gdynia
81-555	Gdynia
81-556	Gdynia
81-557	Gdynia
81-558	Gdynia
81-559	Gdynia
81-560	Gdynia
81-561	Gdynia
81-562	Gdynia
81-571	Gdynia
81-572	Gdynia
81-573	Gdynia
81-574	Gdynia
81-575	Gdynia
81-576	Gdynia
81-577	Gdynia
81-578	Gdynia
81-579	Gdynia
81-580	Gdynia
81-581	Gdynia
81-582	Gdynia
81-583	Gdynia
81-584	Gdynia
81-585	Gdynia
81-586	Gdynia
81-587	Gdynia
81-589	Gdynia
81-590	Gdynia
81-591	Gdynia
81-592	Gdynia
81-593	Gdynia
81-594	Gdynia
81-595	Gdynia
81-596	Gdynia
81-597	Gdynia
81-598	Gdynia
81-601	Gdynia
81-602	Gdynia
81-603	Gdynia
81-604	Gdynia
81-605	Gdynia
81-606	Gdynia
81-608	Gdynia
81-609	Gdynia
81-611	Gdynia
81-612	Gdynia
81-613	Gdynia
81-614	Gdynia
81-615	Gdynia
81-616	Gdynia
81-617	Gdynia
81-620	Gdynia
81-621	Gdynia
81-622	Gdynia
81-623	Gdynia
81-625	Gdynia
81-626	Gdynia
81-627	Gdynia
81-628	Gdynia
81-629	Gdynia
81-630	Gdynia
81-631	Gdynia
81-632	Gdynia
81-633	Gdynia
81-634	Gdynia
81-635	Gdynia
81-636	Gdynia
81-637	Gdynia
81-638	Gdynia
81-639	Gdynia
81-640	Gdynia
81-641	Gdynia
81-645	Gdynia
81-646	Gdynia
81-647	Gdynia
81-649	Gdynia
81-650	Gdynia
81-651	Gdynia
81-653	Gdynia
81-654	Gdynia
81-655	Gdynia
81-656	Gdynia
81-657	Gdynia
81-658	Gdynia
81-659	Gdynia
81-661	Gdynia
81-900	Gdynia
81-960	Gdynia
81-963	Gdynia
81-969	Gdynia
16-504	MaÊkowa Ruda
16-506	Giby
16-507	G≥Íboki BrÛd
16-509	Pogorzelec
16-509	Pogorzelec k. Sejn
97-540	Gidle
97-541	P≥awno
97-541	P≥awno k. Radomska
26-434	GielniÛw
44-177	PaniÛwki
44-178	Przyszowice
44-184	ChudÛw
44-186	Giera≥towice
11-035	Unieszewo
11-036	Gietrzwa≥d
11-037	Biesal
14-131	Biesal
34-322	Gilowice
63-307	Szymanowice nad Prosnπ
63-308	Giza≥ki
63-311	WronÛw
63-312	Bia≥ob≥oty
63-312	Bia≥ob≥oty k. Pleszewa
11-500	Giøycko
11-532	Wilkasy
11-535	Kamionki
11-535	Kamionki k. Giøycka
06-450	Glinojeck
06-452	Oúcis≥owo
06-455	Wola M≥ocka
44-100	Gliwice
44-101	Gliwice
44-101	Gliwice 1
44-102	Gliwice
44-103	Gliwice
44-104	Gliwice
44-105	Gliwice
44-106	Gliwice
44-107	Gliwice
44-109	Gliwice
44-110	Gliwice
44-112	Gliwice
44-113	Gliwice
44-114	Gliwice
44-117	Gliwice
